origin|split_on_leg|avoid|destination|mode|units|timezone|departure_time|split_point|distance|end_y|end_x|duration_in_traffic-sec|duration-sec|start_x|start_y|distance|end_y|end_x|duration_in_traffic-sec|duration-sec|start_x|start_y
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-12 05:36:00-05:00|Roosevelt Av - Jackson Heights Subway Station|7.5 mi|40.7465008|-73.8910021|1252|1453|-73.99977539999999|40.7271183|3.3 mi|40.774059|-73.87185699999999|n/a|531|-73.8907842|40.7466375
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-12 05:36:00-05:00|Northern Blvd|8.0 mi|40.7530768|-73.9069949|1350|1566|-73.99977539999999|40.7271183|4.2 mi|40.774059|-73.87185699999999|n/a|1500|-73.9071013|40.7531039
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-12 05:36:00-05:00|Lexington Av - 63 St Subway Station|3.3 mi|40.76478729999999|-73.9664645|1015|1391|-73.9932975|40.7295629|7.6 mi|40.774059|-73.87185699999999|n/a|1560|-73.96611299999999|40.764629
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-12 05:36:00-05:00|21 St - Queensbridge|4.5 mi|40.754101|-73.9423347|1150|1361|-73.9932975|40.7295629|6.2 mi|40.774059|-73.87185699999999|n/a|1260|-73.94247419999999|40.75417770000001
New York University|end||LaGuardia Airport|transit|imperial|eastern|2017-04-12 05:36:00-05:00|74 St/Roosevelt Av Station|8.5 mi|40.746543|-73.890732|n/a|1763|-73.99433259999999|40.7285304|2.9 mi|40.7714389|-73.8718939|426|414|-73.890765|40.7464059
New York University|end||LaGuardia Airport|transit|imperial|eastern|2017-04-12 05:36:00-05:00|LaGuardia Airport|11.3 mi|40.774059|-73.87185699999999|n/a|2559|-73.99433259999999|40.7285304|0.2 mi|40.7734911|-73.8758586|84|96|-73.8720814|40.7740263
New York University||tolls|LaGuardia Airport|driving|imperial|eastern|2017-04-12 05:48:00-05:00||9.9 mi|40.7714389|-73.8718939|1294|1475|-73.99977539999999|40.7271183
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-12 05:48:00-05:00||11.6 mi|40.774059|-73.87185699999999|n/a|2739|-73.99433259999999|40.7285304
New York University|end||LaGuardia Airport|transit|imperial|eastern|2017-04-12 05:48:00-05:00||11.6 mi|40.774059|-73.87185699999999|n/a|2739|-73.99433259999999|40.7285304
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-12 05:48:00-05:00|West 4 Street - Washington Square Station|0.2 mi|40.73101|-74.0013002|108|130|-74.0001873|40.7313277|11.2 mi|40.774059|-73.87185699999999|n/a|2460|-74.0012201|40.7311041
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-12 05:48:00-05:00|5 Av/53 St|3.2 mi|40.7602762|-73.9754916|1021|1418|-73.99977539999999|40.7271183|8.1 mi|40.774059|-73.87185699999999|n/a|1680|-73.97553979999999|40.76020949999999
