origin|split_on_leg|avoid|destination|mode|units|timezone|departure_time|split_point|end_y|end_x|duration_in_traffic-sec|distance_m|duration-sec|start_x|start_y|end_y|end_x|duration_in_traffic-sec|distance_m|duration-sec|start_x|start_y
Washington Park Chicago IL||tolls|Ohare Airport|driving|imperial|central|2017-04-05 05:20:00-05:00|41.8217417/-87.6215403|41.8217417|-87.62154029999999|380|3473|429|-87.61759029999999|41.7929603|41.97766499999999|-87.90422099999999|n/a|35619|3753|-87.621368|41.821732
Washington Park Chicago IL||tolls|Ohare Airport|driving|imperial|central|2017-04-05 05:20:00-05:00|41.816588/-87.6190088|41.816588|-87.6190088|350|3095|395|-87.61759029999999|41.7929603|41.97766499999999|-87.90422099999999|n/a|36371|3944|-87.619019|41.816463
Washington Park Chicago IL||tolls|Ohare Airport|driving|imperial|central|2017-04-05 05:25:00-05:00|41.9037353/-87.6674953|41.9037353|-87.6674953|n/a|15142|2574|-87.61759029999999|41.7929603|41.9797233|-87.88225249999999|977|22225|1064|-87.66741809999999|41.903737
Washington Park Chicago IL||tolls|Ohare Airport|driving|imperial|central|2017-04-05 05:25:00-05:00|41.94738/-87.719063|41.94738|-87.719063|n/a|21893|3234|-87.61759029999999|41.7929603|41.9797233|-87.88225249999999|981|23030|1017|-87.7191813|41.9472665
Washington Park Chicago IL||tolls|Ohare Airport|driving|imperial|central|2017-04-05 05:25:00-05:00|41.983505/-87.85939|41.983505|-87.85939|n/a|34808|4224|-87.61759029999999|41.7929603|41.9797233|-87.88225249999999|89|2012|93|-87.85947929999999|41.9837411
Washington Park Chicago IL||tolls|Ohare Airport|driving|imperial|central|2017-04-05 05:25:00-05:00|41.984245/-87.838028|41.984245|-87.838028|n/a|33045|4074|-87.61759029999999|41.7929603|41.9797233|-87.88225249999999|164|3810|168|-87.838152|41.9844224
Washington Park Chicago IL||tolls|Ohare Airport|driving|imperial|central|2017-04-05 05:25:00-05:00|41.8857522/-87.6315547|41.8857522|-87.6315547|n/a|11394|1567|-87.61759029999999|41.7929603|41.9797233|-87.88225249999999|1275|26064|1314|-87.6315556|41.8857335
Washington Park Chicago IL||tolls|Ohare Airport|driving|imperial|central|2017-04-05 05:25:00-05:00|41.970634/-87.760895|41.970634|-87.76089499999999|n/a|26224|3624|-87.61759029999999|41.7929603|41.9797233|-87.88225249999999|434|10610|450|-87.7611277|41.9708946
Washington Park Chicago IL||tolls|Ohare Airport|driving|imperial|central|2017-04-05 05:25:00-05:00|41.952927/-87.729233|41.952927|-87.729233|n/a|22935|3354|-87.61759029999999|41.7929603|41.9797233|-87.88225249999999|1010|24075|1065|-87.7292758|41.9528843
Washington Park Chicago IL||tolls|Ohare Airport|driving|imperial|central|2017-04-05 05:25:00-05:00|41.977665/-87.904221|41.97766499999999|-87.90422099999999|n/a|39116|4524|-87.61759029999999|41.7929603|41.9797233|-87.88225249999999|528|7350|603|-87.90409720000001|41.9777944
Washington Park Chicago IL||tolls|Ohare Airport|driving|imperial|central|2017-04-05 05:25:00-05:00|41.96154/-87.743576|41.96154|-87.74357599999999|n/a|24466|3474|-87.61759029999999|41.7929603|41.9797233|-87.88225249999999|833|14777|838|-87.74378039999999|41.9613378
Washington Park Chicago IL||tolls|Ohare Airport|driving|imperial|central|2017-04-05 05:25:00-05:00|41.92194/-87.696892|41.92194|-87.69689199999999|n/a|18292|2884|-87.61759029999999|41.7929603|41.9797233|-87.88225249999999|941|18701|990|-87.696945|41.922119
Washington Park Chicago IL||tolls|Ohare Airport|driving|imperial|central|2017-04-05 05:25:00-05:00|41.915996/-87.6870336|41.915996|-87.68703359999999|n/a|17247|2784|-87.61759029999999|41.7929603|41.9797233|-87.88225249999999|979|20429|1058|-87.6870296|41.9159999
Washington Park Chicago IL||tolls|Ohare Airport|driving|imperial|central|2017-04-05 05:25:00-05:00|41.8913747/-87.6478904|41.8913747|-87.6478904|n/a|12998|2314|-87.61759029999999|41.7929603|41.9797233|-87.88225249999999|1017|24050|1099|-87.647891|41.8913741
Washington Park Chicago IL||tolls|Ohare Airport|driving|imperial|central|2017-04-05 05:25:00-05:00|41.9823319/-87.8075119|41.9823319|-87.8075119|n/a|30489|3894|-87.61759029999999|41.7929603|41.9797233|-87.88225249999999|269|6370|274|-87.8075138|41.9824533
Washington Park Chicago IL||tolls|Ohare Airport|driving|imperial|central|2017-04-05 05:30:00-05:00||41.9797233|-87.88225249999999|1669|36662|1839|-87.61759029999999|41.7929603|||||||
Washington Park Chicago IL||tolls|Ohare Airport|driving|imperial|central|2017-04-05 05:35:00-05:00||41.97766499999999|-87.90422099999999|n/a|39116|4545|-87.61759029999999|41.7929603|||||||
Washington Park Chicago IL||tolls|Ohare Airport|driving|imperial|central|2017-04-05 05:40:00-05:00||41.97766499999999|-87.90422099999999|n/a|39116|4545|-87.61759029999999|41.7929603|||||||
