origin|avoid|destination|mode|units|timezone|departure_time|end_y|end_x|duration_in_traffic-sec|distance_m|duration-sec|start_x|start_y
(41.961216, -87.649377)||One Prudential Plaza Chicago IL|transit|imperial|central|2017-04-19 05:15:00-05:00|41.8845067|-87.6231086|n/a|9400|2020|-87.6493686|41.9609489
(41.954185, -87.713354)||One Prudential Plaza Chicago IL|transit|imperial|central|2017-04-19 05:15:00-05:00|41.8845067|-87.6231086|n/a|12745|2618|-87.7133612|41.9543522
(41.954185, -87.69735975)||One Prudential Plaza Chicago IL|transit|imperial|central|2017-04-19 05:15:00-05:00|41.8845067|-87.6231086|n/a|15210|2706|-87.6973594|41.9541097
(41.954185, -87.6813655)||One Prudential Plaza Chicago IL|transit|imperial|central|2017-04-19 05:15:00-05:00|41.8845067|-87.6231086|n/a|11868|2436|-87.681282|41.954021
(41.954185, -87.66537124999999)||One Prudential Plaza Chicago IL|transit|imperial|central|2017-04-19 05:15:00-05:00|41.8845067|-87.6231086|n/a|10523|2316|-87.6653771|41.9543384
(41.954185, -87.649377)||One Prudential Plaza Chicago IL|transit|imperial|central|2017-04-19 05:15:00-05:00|41.8845067|-87.6231086|n/a|8979|1949|-87.64971159999999|41.95418129999999
(41.947154, -87.713354)||One Prudential Plaza Chicago IL|transit|imperial|central|2017-04-19 05:15:00-05:00|41.8845067|-87.6231086|n/a|12132|2134|-87.713336|41.94715430000001
(41.947154, -87.69735975)||One Prudential Plaza Chicago IL|transit|imperial|central|2017-04-19 05:15:00-05:00|41.8845067|-87.6231086|n/a|12550|2250|-87.69736309999999|41.9466943
(41.947154, -87.6813655)||One Prudential Plaza Chicago IL|transit|imperial|central|2017-04-19 05:15:00-05:00|41.8845067|-87.6231086|n/a|11107|1934|-87.6809797|41.9471592
(41.947154, -87.66537124999999)||One Prudential Plaza Chicago IL|transit|imperial|central|2017-04-19 05:15:00-05:00|41.8845067|-87.6231086|n/a|11550|2220|-87.6653675|41.947039
(41.947154, -87.649377)||One Prudential Plaza Chicago IL|transit|imperial|central|2017-04-19 05:15:00-05:00|41.8845067|-87.6231086|n/a|9077|1438|-87.6494756|41.9471513
(41.940123, -87.713354)||One Prudential Plaza Chicago IL|transit|imperial|central|2017-04-19 05:15:00-05:00|41.8845067|-87.6231086|n/a|10656|1660|-87.71335549999999|41.9401803
(41.940123, -87.69735975)||One Prudential Plaza Chicago IL|transit|imperial|central|2017-04-19 05:15:00-05:00|41.8845067|-87.6231086|n/a|11830|2433|-87.6972394|41.9401234
