origin|split_on_leg|driver_leg|avoid|destination|mode|units|timezone|departure_time|split_point|distance|end_y|end_x|duration_in_traffic-sec|duration-sec|start_x|start_y|distance|end_y|end_x|duration_in_traffic-sec|duration-sec|start_x|start_y
New York University|end|||LaGuardia Airport|transit|imperial|eastern|2017-04-11 05:12:00-05:00||11.6 mi|40.774059|-73.871857|n/a|2559|-73.9943326|40.7285304|||||||
New York University|begin|start||LaGuardia Airport|transit|imperial|eastern|2017-04-11 05:12:00-05:00|West 4 Street - Washington Square Station|0.2 mi|40.73101|-74.0013002|107|130|-74.0001873|40.7313277|11.2 mi|40.774059|-73.871857|n/a|2280|-74.0012201|40.7311041
New York University|begin|start||LaGuardia Airport|transit|imperial|eastern|2017-04-11 05:12:00-05:00|5 Av/53 St|3.2 mi|40.7602762|-73.9754916|965|1418|-73.9997754|40.7271183|8.1 mi|40.774059|-73.871857|n/a|1620|-73.9755398|40.7602095
New York University|begin|start||LaGuardia Airport|transit|imperial|eastern|2017-04-11 05:12:00-05:00|36 St|4.9 mi|40.7520038|-73.9287806|1358|1572|-73.9932975|40.7295629|5.6 mi|40.774059|-73.871857|n/a|1920|-73.928781|40.752039
New York University|begin|start||LaGuardia Airport|transit|imperial|eastern|2017-04-11 05:12:00-05:00|50th Street|3.6 mi|40.7623826|-73.9863368|1001|1259|-73.9997754|40.7271183|8.8 mi|40.774059|-73.871857|n/a|1920|-73.9862468|40.7625048
New York University|begin|start||LaGuardia Airport|transit|imperial|eastern|2017-04-11 05:12:00-05:00|Roosevelt Av - Jackson Heights Subway Station|7.5 mi|40.7465008|-73.8910021|1155|1453|-73.9997754|40.7271183|3.3 mi|40.774059|-73.871857|n/a|543|-73.8907842|40.7466375
New York University|begin|start||LaGuardia Airport|transit|imperial|eastern|2017-04-11 05:12:00-05:00|Court Square-23 Street Station|4.0 mi|40.7480716|-73.9471688|1067|1204|-73.9932975|40.7295629|6.4 mi|40.774059|-73.871857|n/a|1320|-73.9472068|40.747956
New York University|begin|start||LaGuardia Airport|transit|imperial|eastern|2017-04-11 05:12:00-05:00|Northern Blvd|8.0 mi|40.7530768|-73.9069949|1258|1566|-73.9997754|40.7271183|4.2 mi|40.774059|-73.871857|n/a|1620|-73.9071013|40.7531039
New York University|end|finish||LaGuardia Airport|transit|imperial|eastern|2017-04-11 05:12:00-05:00|74 St/Roosevelt Av Station|8.5 mi|40.746543|-73.890732|n/a|1763|-73.9943326|40.7285304|2.9 mi|40.7715416|-73.8717269|414|403|-73.890765|40.7464059
New York University|end|finish||LaGuardia Airport|transit|imperial|eastern|2017-04-11 05:12:00-05:00|LaGuardia Airport|11.6 mi|40.774059|-73.871857|n/a|2559|-73.9943326|40.7285304|0.2 mi|40.7734912|-73.8758585|91|96|-73.8720814|40.7740263
New York University|||tolls|LaGuardia Airport|driving|imperial|eastern|2017-04-11 05:24:00-05:00||9.9 mi|40.7715416|-73.8717269|1209|1464|-73.9997754|40.7271183|||||||
New York University|begin|||LaGuardia Airport|transit|imperial|eastern|2017-04-11 05:24:00-05:00||11.6 mi|40.774059|-73.871857|n/a|2739|-73.9943326|40.7285304|||||||
New York University|end|||LaGuardia Airport|transit|imperial|eastern|2017-04-11 05:24:00-05:00||11.6 mi|40.774059|-73.871857|n/a|2739|-73.9943326|40.7285304|||||||
New York University|begin|start||LaGuardia Airport|transit|imperial|eastern|2017-04-11 05:24:00-05:00|West 4 Street - Washington Square Station|0.2 mi|40.73101|-74.0013002|106|130|-74.0001873|40.7313277|11.2 mi|40.774059|-73.871857|n/a|2460|-74.0012201|40.7311041
New York University|begin|start||LaGuardia Airport|transit|imperial|eastern|2017-04-11 05:24:00-05:00|5 Av/53 St|3.0 mi|40.7602762|-73.9754916|962|1311|-73.9932975|40.7295629|8.1 mi|40.774059|-73.871857|n/a|1800|-73.9755398|40.7602095
New York University|begin|start||LaGuardia Airport|transit|imperial|eastern|2017-04-11 05:24:00-05:00|36 St|4.9 mi|40.7520038|-73.9287806|1323|1572|-73.9932975|40.7295629|5.6 mi|40.774059|-73.871857|n/a|1800|-73.928781|40.752039
New York University|begin|start||LaGuardia Airport|transit|imperial|eastern|2017-04-11 05:24:00-05:00|50th Street|3.6 mi|40.7623826|-73.9863368|1025|1259|-73.9997754|40.7271183|8.8 mi|40.774059|-73.871857|n/a|1920|-73.9862468|40.7625048
New York University|begin|start||LaGuardia Airport|transit|imperial|eastern|2017-04-11 05:24:00-05:00|Roosevelt Av - Jackson Heights Subway Station|7.5 mi|40.7465008|-73.8910021|1181|1453|-73.9997754|40.7271183|3.3 mi|40.774059|-73.871857|n/a|543|-73.8907842|40.7466375
New York University|begin|start||LaGuardia Airport|transit|imperial|eastern|2017-04-11 05:24:00-05:00|Court Square-23 Street Station|4.0 mi|40.7480716|-73.9471688|1013|1204|-73.9932975|40.7295629|6.4 mi|40.774059|-73.871857|n/a|1500|-73.9472068|40.747956
New York University|begin|start||LaGuardia Airport|transit|imperial|eastern|2017-04-11 05:24:00-05:00|Northern Blvd|8.0 mi|40.7530768|-73.9069949|1289|1566|-73.9997754|40.7271183|4.2 mi|40.774059|-73.871857|n/a|1500|-73.9071013|40.7531039
New York University|end|finish||LaGuardia Airport|transit|imperial|eastern|2017-04-11 05:24:00-05:00|74 St/Roosevelt Av Station|8.5 mi|40.746543|-73.890732|n/a|1763|-73.9943326|40.7285304|2.9 mi|40.7715416|-73.8717269|359|403|-73.890765|40.7464059
New York University|end|finish||LaGuardia Airport|transit|imperial|eastern|2017-04-11 05:24:00-05:00|LaGuardia Airport|11.6 mi|40.774059|-73.871857|n/a|2739|-73.9943326|40.7285304|0.2 mi|40.7734912|-73.8758585|81|96|-73.8720814|40.7740263
New York University|||tolls|LaGuardia Airport|driving|imperial|eastern|2017-04-11 05:36:00-05:00||9.9 mi|40.7715416|-73.8717269|1229|1464|-73.9997754|40.7271183|||||||
New York University|begin|||LaGuardia Airport|transit|imperial|eastern|2017-04-11 05:36:00-05:00||11.3 mi|40.774059|-73.871857|n/a|2559|-73.9943326|40.7285304|||||||
New York University|end|||LaGuardia Airport|transit|imperial|eastern|2017-04-11 05:36:00-05:00||11.3 mi|40.774059|-73.871857|n/a|2559|-73.9943326|40.7285304|||||||
New York University|begin|start||LaGuardia Airport|transit|imperial|eastern|2017-04-11 05:36:00-05:00|West 4 Street - Washington Square Station|0.2 mi|40.73101|-74.0013002|94|130|-74.0001873|40.7313277|10.9 mi|40.774059|-73.871857|n/a|2280|-74.0012201|40.7311041
New York University|begin|start||LaGuardia Airport|transit|imperial|eastern|2017-04-11 05:36:00-05:00|47-50 Streets - Rockefeller Center Station|2.5 mi|40.7578741|-73.9819016|670|1035|-73.9997754|40.7271183|8.8 mi|40.774059|-73.871857|n/a|1800|-73.9817907|40.7578276
New York University|begin|start||LaGuardia Airport|transit|imperial|eastern|2017-04-11 05:36:00-05:00|36 St|4.9 mi|40.7520038|-73.9287806|1353|1572|-73.9932975|40.7295629|5.6 mi|40.774059|-73.871857|n/a|1560|-73.928781|40.752039
New York University|begin|start||LaGuardia Airport|transit|imperial|eastern|2017-04-11 05:36:00-05:00|Roosevelt Av - Jackson Heights Subway Station|7.5 mi|40.7465008|-73.8910021|1184|1453|-73.9997754|40.7271183|3.3 mi|40.774059|-73.871857|n/a|543|-73.8907842|40.7466375
New York University|begin|start||LaGuardia Airport|transit|imperial|eastern|2017-04-11 05:36:00-05:00|Northern Blvd|8.0 mi|40.7530768|-73.9069949|1308|1566|-73.9997754|40.7271183|4.2 mi|40.774059|-73.871857|n/a|1500|-73.9071013|40.7531039
New York University|begin|start||LaGuardia Airport|transit|imperial|eastern|2017-04-11 05:36:00-05:00|Lexington Av - 63 St Subway Station|3.3 mi|40.7647873|-73.9664645|1108|1391|-73.9932975|40.7295629|7.6 mi|40.774059|-73.871857|n/a|1560|-73.966113|40.764629
New York University|begin|start||LaGuardia Airport|transit|imperial|eastern|2017-04-11 05:36:00-05:00|21 St - Queensbridge|4.5 mi|40.754101|-73.9423347|1189|1361|-73.9932975|40.7295629|6.2 mi|40.774059|-73.871857|n/a|1260|-73.9424742|40.7541777
New York University|end|finish||LaGuardia Airport|transit|imperial|eastern|2017-04-11 05:36:00-05:00|74 St/Roosevelt Av Station|8.5 mi|40.746543|-73.890732|n/a|1763|-73.9943326|40.7285304|2.9 mi|40.7715416|-73.8717269|383|403|-73.890765|40.7464059
New York University|end|finish||LaGuardia Airport|transit|imperial|eastern|2017-04-11 05:36:00-05:00|LaGuardia Airport|11.3 mi|40.774059|-73.871857|n/a|2559|-73.9943326|40.7285304|0.2 mi|40.7734912|-73.8758585|79|96|-73.8720814|40.7740263
New York University|||tolls|LaGuardia Airport|driving|imperial|eastern|2017-04-11 05:48:00-05:00||9.9 mi|40.7715416|-73.8717269|1218|1464|-73.9997754|40.7271183|||||||
New York University|begin|||LaGuardia Airport|transit|imperial|eastern|2017-04-11 05:48:00-05:00||11.6 mi|40.774059|-73.871857|n/a|2739|-73.9943326|40.7285304|||||||
New York University|end|||LaGuardia Airport|transit|imperial|eastern|2017-04-11 05:48:00-05:00||11.6 mi|40.774059|-73.871857|n/a|2739|-73.9943326|40.7285304|||||||
New York University|begin|start||LaGuardia Airport|transit|imperial|eastern|2017-04-11 05:48:00-05:00|West 4 Street - Washington Square Station|0.2 mi|40.73101|-74.0013002|93|130|-74.0001873|40.7313277|11.2 mi|40.774059|-73.871857|n/a|2460|-74.0012201|40.7311041
New York University|begin|start||LaGuardia Airport|transit|imperial|eastern|2017-04-11 05:48:00-05:00|5 Av/53 St|3.0 mi|40.7602762|-73.9754916|971|1311|-73.9932975|40.7295629|8.1 mi|40.774059|-73.871857|n/a|1680|-73.9755398|40.7602095
New York University|begin|start||LaGuardia Airport|transit|imperial|eastern|2017-04-11 05:48:00-05:00|36 St|4.9 mi|40.7520038|-73.9287806|1434|1572|-73.9932975|40.7295629|5.6 mi|40.774059|-73.871857|n/a|1380|-73.928781|40.752039
