origin|split_on_leg|drive_leg|avoid|destination|mode|units|timezone|departure_time|split_point|distance|end_y|end_x|duration_in_traffic-sec|duration-sec|start_x|start_y|distance|end_y|end_x|duration_in_traffic-sec|duration-sec|start_x|start_y
Harvard transit station Boston MA|begin|start||Airport station Boston MA|transit|imperial|eastern|2017-04-12 04:48:00-05:00|Downtown Crossing|5.8 mi|42.3549395|-71.05975|971|1108|-71.1186766|42.3732897|2.2 mi|42.374262|-71.030395|n/a|795|-71.0599775|42.3550909
Harvard transit station Boston MA|begin|start||Airport station Boston MA|transit|imperial|eastern|2017-04-12 04:48:00-05:00|Charles/MGH|2.9 mi|42.3611521|-71.070619|724|852|-71.1191387|42.3736294|2.7 mi|42.374262|-71.030395|n/a|1044|-71.0705298|42.3611271
Harvard transit station Boston MA|begin|start||Airport station Boston MA|transit|imperial|eastern|2017-04-12 04:48:00-05:00|Harvard|20 ft|42.3732593|-71.1187348|1|2|-71.1186766|42.3732897|5.6 mi|42.374262|-71.030395|n/a|1844|-71.118956|42.373362
Harvard transit station Boston MA|begin|start||Airport station Boston MA|transit|imperial|eastern|2017-04-12 04:48:00-05:00|Central|1.0 mi|42.3653463|-71.103606|333|431|-71.1186766|42.3732897|4.7 mi|42.374262|-71.030395|n/a|1539|-71.103802|42.365486
Harvard transit station Boston MA|end|finish||Airport station Boston MA|transit|imperial|eastern|2017-04-12 04:48:00-05:00|State|3.7 mi|42.3586466|-71.057326|n/a|1101|-71.118956|42.373362|3.1 mi|42.3747715|-71.0290294|603|641|-71.0571914|42.3586696
Harvard transit station Boston MA|end|finish||Airport station Boston MA|transit|imperial|eastern|2017-04-12 04:48:00-05:00|Maverick|5.0 mi|42.3691186|-71.0395296|n/a|1724|-71.118956|42.373362|1.4 mi|42.3747715|-71.0290294|300|318|-71.0396719|42.3691933
Harvard transit station Boston MA|end|finish||Airport station Boston MA|transit|imperial|eastern|2017-04-12 04:48:00-05:00|Aquarium|4.0 mi|42.3597918|-71.0515702|n/a|1482|-71.118956|42.373362|3.1 mi|42.3747715|-71.0290294|561|669|-71.0515464|42.3596586
Harvard transit station Boston MA|end|finish||Airport station Boston MA|transit|imperial|eastern|2017-04-12 04:48:00-05:00|Airport Station|5.6 mi|42.374262|-71.030395|n/a|1844|-71.118956|42.373362|0.6 mi|42.3747715|-71.0290294|106|108|-71.0305389|42.3745164
Harvard transit station Boston MA|||tolls|Airport station Boston MA|driving|imperial|eastern|2017-04-12 05:00:00-05:00||10.7 mi|42.3747715|-71.0290294|1431|1541|-71.1191387|42.3736294|||||||
Harvard transit station Boston MA|begin|||Airport station Boston MA|transit|imperial|eastern|2017-04-12 05:00:00-05:00||5.4 mi|42.374262|-71.030395|n/a|1582|-71.118956|42.373362|||||||
Harvard transit station Boston MA|end|||Airport station Boston MA|transit|imperial|eastern|2017-04-12 05:00:00-05:00||5.4 mi|42.374262|-71.030395|n/a|1582|-71.118956|42.373362|||||||
Harvard transit station Boston MA|begin|start||Airport station Boston MA|transit|imperial|eastern|2017-04-12 05:00:00-05:00|Kendall|2.3 mi|42.3623895|-71.0862031|595|702|-71.1191387|42.3736294|3.6 mi|42.374262|-71.030395|n/a|1024|-71.0862248|42.3622401
Harvard transit station Boston MA|begin|start||Airport station Boston MA|transit|imperial|eastern|2017-04-12 05:00:00-05:00|Charles/MGH|2.9 mi|42.3611521|-71.070619|737|852|-71.1191387|42.3736294|2.7 mi|42.374262|-71.030395|n/a|1030|-71.0705298|42.3611271
Harvard transit station Boston MA|begin|start||Airport station Boston MA|transit|imperial|eastern|2017-04-12 05:00:00-05:00|Harvard|20 ft|42.3732593|-71.1187348|1|2|-71.1186766|42.3732897|5.4 mi|42.374262|-71.030395|n/a|1582|-71.118956|42.373362
Harvard transit station Boston MA|begin|start||Airport station Boston MA|transit|imperial|eastern|2017-04-12 05:00:00-05:00|Central|1.0 mi|42.3653463|-71.103606|325|431|-71.1186766|42.3732897|4.5 mi|42.374262|-71.030395|n/a|1176|-71.103802|42.365486
Harvard transit station Boston MA|begin|start||Airport station Boston MA|transit|imperial|eastern|2017-04-12 05:00:00-05:00|Park Street|5.1 mi|42.3563193|-71.0622047|830|946|-71.1191387|42.3736294|2.3 mi|42.374262|-71.030395|n/a|787|-71.0623081|42.3563808
Harvard transit station Boston MA|end|finish||Airport station Boston MA|transit|imperial|eastern|2017-04-12 05:00:00-05:00|State|3.7 mi|42.3586466|-71.057326|n/a|1073|-71.118956|42.373362|3.1 mi|42.3747715|-71.0290294|624|641|-71.0571914|42.3586696
Harvard transit station Boston MA|end|finish||Airport station Boston MA|transit|imperial|eastern|2017-04-12 05:00:00-05:00|Maverick|4.8 mi|42.3691186|-71.0395296|n/a|1462|-71.118956|42.373362|1.4 mi|42.3747715|-71.0290294|306|318|-71.0396719|42.3691933
Harvard transit station Boston MA|end|finish||Airport station Boston MA|transit|imperial|eastern|2017-04-12 05:00:00-05:00|Aquarium|4.0 mi|42.3597918|-71.0515702|n/a|1454|-71.118956|42.373362|3.1 mi|42.3747715|-71.0290294|620|669|-71.0515464|42.3596586
Harvard transit station Boston MA|end|finish||Airport station Boston MA|transit|imperial|eastern|2017-04-12 05:00:00-05:00|Airport Station|5.4 mi|42.374262|-71.030395|n/a|1582|-71.118956|42.373362|0.6 mi|42.3747715|-71.0290294|106|108|-71.0305389|42.3745164
Harvard transit station Boston MA|||tolls|Airport station Boston MA|driving|imperial|eastern|2017-04-12 05:12:00-05:00||10.7 mi|42.3747715|-71.0290294|1390|1541|-71.1191387|42.3736294|||||||
Harvard transit station Boston MA|begin|||Airport station Boston MA|transit|imperial|eastern|2017-04-12 05:12:00-05:00||5.6 mi|42.374262|-71.030395|n/a|1489|-71.118956|42.373362|||||||
Harvard transit station Boston MA|end|||Airport station Boston MA|transit|imperial|eastern|2017-04-12 05:12:00-05:00||5.6 mi|42.374262|-71.030395|n/a|1486|-71.118956|42.373362|||||||
Harvard transit station Boston MA|begin|start||Airport station Boston MA|transit|imperial|eastern|2017-04-12 05:12:00-05:00|Kendall|2.3 mi|42.3623895|-71.0862031|585|702|-71.1191387|42.3736294|3.7 mi|42.374262|-71.030395|n/a|1051|-71.0862248|42.3622401
Harvard transit station Boston MA|begin|start||Airport station Boston MA|transit|imperial|eastern|2017-04-12 05:12:00-05:00|Charles/MGH|2.9 mi|42.3611521|-71.070619|749|852|-71.1191387|42.3736294|2.7 mi|42.374262|-71.030395|n/a|1038|-71.0705298|42.3611271
Harvard transit station Boston MA|begin|start||Airport station Boston MA|transit|imperial|eastern|2017-04-12 05:12:00-05:00|Harvard|20 ft|42.3732593|-71.1187348|1|2|-71.1186766|42.3732897|5.6 mi|42.374262|-71.030395|n/a|1494|-71.118956|42.373362
Harvard transit station Boston MA|begin|start||Airport station Boston MA|transit|imperial|eastern|2017-04-12 05:12:00-05:00|Central|1.0 mi|42.3653463|-71.103606|351|431|-71.1186766|42.3732897|4.6 mi|42.374262|-71.030395|n/a|1215|-71.103802|42.365486
Harvard transit station Boston MA|begin|start||Airport station Boston MA|transit|imperial|eastern|2017-04-12 05:12:00-05:00|Park Street|5.1 mi|42.3563193|-71.0622047|834|946|-71.1191387|42.3736294|2.3 mi|42.374262|-71.030395|n/a|788|-71.0623081|42.3563808
Harvard transit station Boston MA|end|finish||Airport station Boston MA|transit|imperial|eastern|2017-04-12 05:12:00-05:00|State|3.7 mi|42.3586466|-71.057326|n/a|1086|-71.118956|42.373362|3.1 mi|42.3747715|-71.0290294|591|641|-71.0571914|42.3586696
Harvard transit station Boston MA|end|finish||Airport station Boston MA|transit|imperial|eastern|2017-04-12 05:12:00-05:00|Maverick|5.0 mi|42.3691186|-71.0395296|n/a|1374|-71.118956|42.373362|1.4 mi|42.3747715|-71.0290294|302|318|-71.0396719|42.3691933
