origin|avoid|destination|mode|units|departure_time|distance|end_y|start_y|duration-sec|start_x|duration_in_traffic-sec|duration|end_x|duration_in_traffic
New York University||LaGuardia Airport|transit|imperial|2017-03-22 02:20:00.499138|9.9 mi|40.7718585|40.7284833|3511|-73.99437209999999|n/a|59 mins|-73.8716326|n/a
New York University|tolls|LaGuardia Airport|driving|imperial|2017-03-22 02:25:00.081052|10.0 mi|40.7715416|40.7295629|1546|-73.9932975|1112|26 mins|-73.8717269|19 mins
New York University||LaGuardia Airport|transit|imperial|2017-03-22 02:25:00.830387|9.9 mi|40.7718585|40.7284833|3511|-73.99437209999999|n/a|59 mins|-73.8716326|n/a
New York University|tolls|LaGuardia Airport|driving|imperial|2017-03-22 02:30:00.095280|10.0 mi|40.7715416|40.7295629|1546|-73.9932975|1140|26 mins|-73.8717269|19 mins
New York University||LaGuardia Airport|transit|imperial|2017-03-22 02:30:00.492416|11.9 mi|40.7718585|40.7285304|3481|-73.99433259999999|n/a|58 mins|-73.8716326|n/a
New York University|tolls|LaGuardia Airport|driving|imperial|2017-03-22 02:35:00.072542|10.0 mi|40.7715416|40.7295629|1546|-73.9932975|1146|26 mins|-73.8717269|19 mins
New York University||LaGuardia Airport|transit|imperial|2017-03-22 02:35:01.126406|11.9 mi|40.7718585|40.7285304|3481|-73.99433259999999|n/a|58 mins|-73.8716326|n/a
New York University|tolls|LaGuardia Airport|driving|imperial|2017-03-22 02:40:00.066657|10.0 mi|40.7715416|40.7295629|1546|-73.9932975|1142|26 mins|-73.8717269|19 mins
New York University||LaGuardia Airport|transit|imperial|2017-03-22 02:40:00.923213|9.9 mi|40.7718585|40.7284833|3271|-73.99437209999999|n/a|55 mins|-73.8716326|n/a
New York University|tolls|LaGuardia Airport|driving|imperial|2017-03-22 02:45:00.109282|10.0 mi|40.7715416|40.7295629|1546|-73.9932975|1102|26 mins|-73.8717269|18 mins
New York University||LaGuardia Airport|transit|imperial|2017-03-22 02:45:00.562043|9.9 mi|40.7718585|40.7284833|3271|-73.99437209999999|n/a|55 mins|-73.8716326|n/a
New York University|tolls|LaGuardia Airport|driving|imperial|2017-03-22 02:50:00.108358|10.0 mi|40.7715416|40.7295629|1546|-73.9932975|1092|26 mins|-73.8717269|18 mins
New York University||LaGuardia Airport|transit|imperial|2017-03-22 02:50:00.969650|11.9 mi|40.7718585|40.7285304|3481|-73.99433259999999|n/a|58 mins|-73.8716326|n/a
New York University|tolls|LaGuardia Airport|driving|imperial|2017-03-22 02:55:00.103267|10.0 mi|40.7715416|40.7295629|1546|-73.9932975|1090|26 mins|-73.8717269|18 mins
New York University||LaGuardia Airport|transit|imperial|2017-03-22 02:55:00.889450|11.9 mi|40.7718585|40.7285304|3481|-73.99433259999999|n/a|58 mins|-73.8716326|n/a
New York University|tolls|LaGuardia Airport|driving|imperial|2017-03-22 03:00:00.097591|10.0 mi|40.7715416|40.7295629|1546|-73.9932975|1103|26 mins|-73.8717269|18 mins
New York University||LaGuardia Airport|transit|imperial|2017-03-22 03:00:00.521354|12.1 mi|40.7718585|40.7284833|3536|-73.99437209999999|n/a|59 mins|-73.8716326|n/a
New York University|tolls|LaGuardia Airport|driving|imperial|2017-03-22 03:05:00.099056|10.0 mi|40.7715416|40.7295629|1546|-73.9932975|1103|26 mins|-73.8717269|18 mins
New York University||LaGuardia Airport|transit|imperial|2017-03-22 03:05:00.569027|12.1 mi|40.7718585|40.7284833|3536|-73.99437209999999|n/a|59 mins|-73.8716326|n/a
New York University|tolls|LaGuardia Airport|driving|imperial|2017-03-22 03:10:00.084449|10.0 mi|40.7715416|40.7295629|1546|-73.9932975|1098|26 mins|-73.8717269|18 mins
New York University||LaGuardia Airport|transit|imperial|2017-03-22 03:10:00.939012|12.1 mi|40.7718585|40.7284833|3536|-73.99437209999999|n/a|59 mins|-73.8716326|n/a
New York University|tolls|LaGuardia Airport|driving|imperial|2017-03-22 03:15:00.087917|10.0 mi|40.7715416|40.7295629|1546|-73.9932975|1101|26 mins|-73.8717269|18 mins
New York University||LaGuardia Airport|transit|imperial|2017-03-22 03:15:00.527220|11.9 mi|40.7718585|40.7285304|3481|-73.99433259999999|n/a|58 mins|-73.8716326|n/a
New York University|tolls|LaGuardia Airport|driving|imperial|2017-03-22 03:20:00.082235|10.0 mi|40.7715416|40.7295629|1546|-73.9932975|1099|26 mins|-73.8717269|18 mins
New York University||LaGuardia Airport|transit|imperial|2017-03-22 03:20:00.502282|12.4 mi|40.7718585|40.7284833|3318|-73.99437209999999|n/a|55 mins|-73.8716326|n/a
New York University|tolls|LaGuardia Airport|driving|imperial|2017-03-22 03:25:00.076299|10.0 mi|40.7715416|40.7295629|1546|-73.9932975|1104|26 mins|-73.8717269|18 mins
New York University||LaGuardia Airport|transit|imperial|2017-03-22 03:25:00.921052|12.4 mi|40.7718585|40.7284833|3318|-73.99437209999999|n/a|55 mins|-73.8716326|n/a
New York University|tolls|LaGuardia Airport|driving|imperial|2017-03-22 03:30:00.083105|10.0 mi|40.7715416|40.7295629|1546|-73.9932975|1088|26 mins|-73.8717269|18 mins
New York University||LaGuardia Airport|transit|imperial|2017-03-22 03:30:00.904306|12.4 mi|40.7718585|40.7284833|3318|-73.99437209999999|n/a|55 mins|-73.8716326|n/a
New York University|tolls|LaGuardia Airport|driving|imperial|2017-03-22 03:35:00.105292|10.0 mi|40.7715416|40.7295629|1546|-73.9932975|1095|26 mins|-73.8717269|18 mins
New York University||LaGuardia Airport|transit|imperial|2017-03-22 03:35:00.517713|11.9 mi|40.7718585|40.7285304|3481|-73.99433259999999|n/a|58 mins|-73.8716326|n/a
New York University|tolls|LaGuardia Airport|driving|imperial|2017-03-22 03:40:00.111045|10.0 mi|40.7715416|40.7295629|1546|-73.9932975|1092|26 mins|-73.8717269|18 mins
New York University||LaGuardia Airport|transit|imperial|2017-03-22 03:40:01.002203|9.9 mi|40.7718585|40.7284833|3391|-73.99437209999999|n/a|57 mins|-73.8716326|n/a
New York University|tolls|LaGuardia Airport|driving|imperial|2017-03-22 03:45:00.108776|10.0 mi|40.7715416|40.7295629|1546|-73.9932975|1085|26 mins|-73.8717269|18 mins
New York University||LaGuardia Airport|transit|imperial|2017-03-22 03:45:00.785494|9.9 mi|40.7718585|40.7284833|3391|-73.99437209999999|n/a|57 mins|-73.8716326|n/a
New York University|tolls|LaGuardia Airport|driving|imperial|2017-03-22 03:50:00.053907|10.0 mi|40.7715416|40.7295629|1546|-73.9932975|1106|26 mins|-73.8717269|18 mins
New York University||LaGuardia Airport|transit|imperial|2017-03-22 03:50:00.452217|12.4 mi|40.7718585|40.7284833|3258|-73.99437209999999|n/a|54 mins|-73.8716326|n/a
New York University|tolls|LaGuardia Airport|driving|imperial|2017-03-22 03:55:00.053963|10.0 mi|40.7715416|40.7295629|1546|-73.9932975|1075|26 mins|-73.8717269|18 mins
New York University||LaGuardia Airport|transit|imperial|2017-03-22 03:55:00.446467|12.4 mi|40.7718585|40.7284833|3258|-73.99437209999999|n/a|54 mins|-73.8716326|n/a
