origin|split_on_leg|avoid|destination|mode|units|timezone|departure_time|split_point|distance|end_y|end_x|duration_in_traffic-sec|duration-sec|start_x|start_y|distance|end_y|end_x|duration_in_traffic-sec|duration-sec|start_x|start_y
New York University|end||LaGuardia Airport|transit|imperial|eastern|2017-04-07 04:10:00-05:00|83 St/Roosevelt Av|8.6 mi|40.7477494|-73.8828983|n/a|2166|-73.99433259999999|40.7285304|3.3 mi|40.7715416|-73.8717269|467|572|-73.8828983|40.7477494
New York University|end||LaGuardia Airport|transit|imperial|eastern|2017-04-07 04:10:00-05:00|74 St - Roosevelt Av Term/Q33 Stop|8.2 mi|40.7466109|-73.8908166|n/a|1717|-73.99433259999999|40.7285304|2.9 mi|40.7715416|-73.8717269|346|390|-73.8909686|40.7464861
New York University||tolls|LaGuardia Airport|driving|imperial|eastern|2017-04-07 04:20:00-05:00||9.9 mi|40.7715416|-73.8717269|1149|1464|-73.99977539999999|40.7271183
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-07 04:20:00-05:00||12.4 mi|40.7718584|-73.87163199999999|n/a|3030|-73.99437209999999|40.7284833
New York University|end||LaGuardia Airport|transit|imperial|eastern|2017-04-07 04:20:00-05:00||12.4 mi|40.7718584|-73.87163199999999|n/a|3030|-73.99437209999999|40.7284833
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-07 04:20:00-05:00|Grand Central - 42 St Station|2.1 mi|40.7522756|-73.9774709|707|885|-73.9932975|40.7295629|10.6 mi|40.7718584|-73.87163199999999|n/a|2114|-73.97761360000001|40.7523191
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-07 04:20:00-05:00|23 St|1.1 mi|40.74003099999999|-73.98640879999999|396|529|-73.9932975|40.7295629|11.4 mi|40.7718584|-73.87163199999999|n/a|2486|-73.9863381|40.7400007
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-07 04:20:00-05:00|Astor Place Station|0.4 mi|40.7301688|-73.99099249999999|144|169|-73.9932975|40.7295629|12.1 mi|40.7718584|-73.87163199999999|n/a|2726|-73.99107|40.730054
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-07 04:20:00-05:00|28 St|1.4 mi|40.7432513|-73.98390549999999|509|675|-73.9932975|40.7295629|11.1 mi|40.7718584|-73.87163199999999|n/a|2426|-73.98386289999999|40.7433087
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-07 04:20:00-05:00|33 St|2.3 mi|40.7466223|-73.9818023|648|988|-73.99977539999999|40.7271183|10.9 mi|40.7718584|-73.87163199999999|n/a|2366|-73.9818873|40.7466576
New York University|end||LaGuardia Airport|transit|imperial|eastern|2017-04-07 04:20:00-05:00|Grand Central Terminal|2.1 mi|40.7505727|-73.97600709999999|n/a|935|-73.99437209999999|40.7284833|8.3 mi|40.7715416|-73.8717269|846|885|-73.9760036|40.7505712
