origin|split_on_leg|drive_leg|avoid|destination|mode|units|timezone|departure_time|split_point|distance_mi|end_y|end_x|duration_in_traffic-sec|duration-sec|start_x|start_y|distance_mi|end_y|end_x|duration_in_traffic-sec|duration-sec|start_x|start_y
Harvard transit station Boston MA|end|||Airport station Boston MA|transit|imperial|eastern|2017-04-07 04:40:00-05:00||7.2|42.374262|-71.030395||2816|-71.1196369|42.3650474|||||||
Harvard transit station Boston MA|begin|start||Airport station Boston MA|transit|imperial|eastern|2017-04-07 04:40:00-05:00|Boylston St @ Massachusetts Ave|4|42.3474071|-71.0874883|538|601|-71.1196369|42.3650474|3.9|42.374262|-71.030395||1498|-71.0874883|42.3474071
Harvard transit station Boston MA|begin|start||Airport station Boston MA|transit|imperial|eastern|2017-04-07 04:40:00-05:00|Vassar St @ Mass Ave|2.1|42.3601886|-71.0947774|511|550|-71.1196369|42.3650474|5.5|42.374262|-71.030395||1660|-71.0947774|42.3601886
Harvard transit station Boston MA|begin|start||Airport station Boston MA|transit|imperial|eastern|2017-04-07 04:40:00-05:00|Massachusetts Ave @ Memorial Dr|2.7|42.357596|-71.092797|518|564|-71.1196369|42.3650474|5.3|42.374262|-71.030395||1590|-71.092797|42.357596
Harvard transit station Boston MA|begin|start||Airport station Boston MA|transit|imperial|eastern|2017-04-07 04:40:00-05:00|Massachusetts Ave.|3.9|42.341661|-71.0833732|578|625|-71.1196369|42.3650474|3.9|42.374262|-71.030395||1259|-71.083423|42.341512
Harvard transit station Boston MA|begin|start||Airport station Boston MA|transit|imperial|eastern|2017-04-07 04:40:00-05:00|Huntington Ave @ Mass Ave|3.8|42.3429094|-71.084935|532|568|-71.1196369|42.3650474|4|42.374262|-71.030395||1421|-71.084935|42.3429094
Harvard transit station Boston MA|begin|start||Airport station Boston MA|transit|imperial|eastern|2017-04-07 04:40:00-05:00|Mt Auburn St @ DeWolfe St|1.3|42.3710009|-71.1159209|406|469|-71.1196369|42.3650474|6.6|42.374262|-71.030395||2116|-71.11597|42.370925
Harvard transit station Boston MA|begin|start||Airport station Boston MA|transit|imperial|eastern|2017-04-07 04:40:00-05:00|Massachusetts Ave @ Beacon St|2.5|42.3507459|-71.0894298|520|576|-71.1196369|42.3650474|4.1|42.374262|-71.030395||1735|-71.0894298|42.3507459
Harvard transit station Boston MA|begin|start||Airport station Boston MA|transit|imperial|eastern|2017-04-07 04:40:00-05:00|Western Ave @ Green St|1.1|42.3652238|-71.1052343|410|453|-71.1196369|42.3650474|4.8|42.374262|-71.030395||1488|-71.1052343|42.3652238
Harvard transit station Boston MA|begin|start||Airport station Boston MA|transit|imperial|eastern|2017-04-07 04:40:00-05:00|Massachusetts Ave @ Bay St|1.4|42.3690283|-71.110376|452|502|-71.1196369|42.3650474|6.3|42.374262|-71.030395||1996|-71.110427|42.368951
