origin|split_on_leg|driver_leg|avoid|destination|mode|units|timezone|departure_time|split_point|end_y|end_x|duration_in_traffic-sec|distance_m|duration-sec|start_x|start_y|end_y|end_x|duration_in_traffic-sec|distance_m|duration-sec|start_x|start_y
New York University||finish|tolls|LaGuardia Airport|driving|imperial|eastern|2017-04-13 06:30:00-05:00|40.7647873/-73.9664645|40.7647873|-73.9664645|1039|5285|1391|-73.9932975|40.7295629|40.774059|-73.871857|n/a|12197|1680|-73.966113|40.764629
New York University||finish|tolls|LaGuardia Airport|driving|imperial|eastern|2017-04-13 06:30:00-05:00|40.754101/-73.9423347|40.754101|-73.9423347|1162|7212|1361|-73.9932975|40.7295629|40.774059|-73.871857|n/a|9907|1260|-73.9424742|40.7541777
New York University||finish|tolls|LaGuardia Airport|driving|imperial|eastern|2017-04-13 06:45:00-05:00|40.746543/-73.890732|40.746543|-73.890732|n/a|13219|1722|-73.9943326|40.7285304|40.7714389|-73.8718939|370|4624|414|-73.890765|40.7464059
New York University||finish|tolls|LaGuardia Airport|driving|imperial|eastern|2017-04-13 06:45:00-05:00|40.774059/-73.871857|40.774059|-73.871857|n/a|18252|2499|-73.9943326|40.7285304|40.7734911|-73.8758586|101|334|96|-73.8720814|40.7740263
New York University|||tolls|LaGuardia Airport|driving|imperial|eastern|2017-04-13 07:00:00-05:00||40.7714389|-73.8718939|1187|15864|1475|-73.9997754|40.7271183|||||||
New York University|||tolls|LaGuardia Airport|driving|imperial|eastern|2017-04-13 07:15:00-05:00||40.774059|-73.871857|n/a|18737|2559|-73.9943326|40.7285304|||||||
New York University|||tolls|LaGuardia Airport|driving|imperial|eastern|2017-04-13 07:30:00-05:00||40.774059|-73.871857|n/a|18737|2559|-73.9943326|40.7285304|||||||
New York University||finish|tolls|LaGuardia Airport|driving|imperial|eastern|2017-04-13 07:15:00-05:00|40.73101/-74.0013002|40.73101|-74.0013002|94|254|130|-74.0001873|40.7313277|40.774059|-73.871857|n/a|17606|2400|-74.0012201|40.7311041
New York University||finish|tolls|LaGuardia Airport|driving|imperial|eastern|2017-04-13 07:15:00-05:00|40.7602762/-73.9754916|40.7602762|-73.9754916|905|4753|1395|-74.0001873|40.7313277|40.774059|-73.871857|n/a|13094|1620|-73.9755398|40.7602095
New York University||finish|tolls|LaGuardia Airport|driving|imperial|eastern|2017-04-13 07:15:00-05:00|40.7520038/-73.9287806|40.7520038|-73.9287806|1304|7927|1572|-73.9932975|40.7295629|40.774059|-73.871857|n/a|9077|1860|-73.928781|40.752039
New York University||finish|tolls|LaGuardia Airport|driving|imperial|eastern|2017-04-13 07:15:00-05:00|40.7465008/-73.8910021|40.7465008|-73.8910021|1180|12147|1453|-73.9997754|40.7271183|40.774059|-73.871857|n/a|5103|480|-73.890689|40.746515
New York University||finish|tolls|LaGuardia Airport|driving|imperial|eastern|2017-04-13 07:15:00-05:00|40.7480716/-73.9471688|40.7480716|-73.9471688|988|6432|1204|-73.9932975|40.7295629|40.774059|-73.871857|n/a|10320|1320|-73.9472068|40.747956
New York University||finish|tolls|LaGuardia Airport|driving|imperial|eastern|2017-04-13 07:15:00-05:00|40.7530768/-73.9069949|40.7530768|-73.9069949|1253|12838|1566|-73.9997754|40.7271183|40.774059|-73.871857|n/a|6730|1560|-73.9071013|40.7531039
New York University||finish|tolls|LaGuardia Airport|driving|imperial|eastern|2017-04-13 07:15:00-05:00|40.7623826/-73.9863368|40.7623826|-73.9863368|1046|5857|1259|-73.9997754|40.7271183|40.774059|-73.871857|n/a|14178|1740|-73.9862468|40.7625048
New York University||finish|tolls|LaGuardia Airport|driving|imperial|eastern|2017-04-13 07:30:00-05:00|40.746543/-73.890732|40.746543|-73.890732|n/a|13704|1782|-73.9943326|40.7285304|40.7714389|-73.8718939|388|4624|414|-73.890765|40.7464059
New York University||finish|tolls|LaGuardia Airport|driving|imperial|eastern|2017-04-13 07:30:00-05:00|40.774059/-73.871857|40.774059|-73.871857|n/a|18737|2559|-73.9943326|40.7285304|40.7734911|-73.8758586|82|334|96|-73.8720814|40.7740263
New York University|||tolls|LaGuardia Airport|driving|imperial|eastern|2017-04-13 07:45:00-05:00||40.7714389|-73.8718939|1295|15864|1475|-73.9997754|40.7271183|||||||
New York University|||tolls|LaGuardia Airport|driving|imperial|eastern|2017-04-13 08:00:00-05:00||40.774059|-73.871857|n/a|18737|2559|-73.9943326|40.7285304|||||||
New York University|||tolls|LaGuardia Airport|driving|imperial|eastern|2017-04-13 08:15:00-05:00||40.774059|-73.871857|n/a|18737|2559|-73.9943326|40.7285304|||||||
New York University||finish|tolls|LaGuardia Airport|driving|imperial|eastern|2017-04-13 08:00:00-05:00|40.73101/-74.0013002|40.73101|-74.0013002|102|254|130|-74.0001873|40.7313277|40.774059|-73.871857|n/a|18091|2280|-74.0012201|40.7311041
New York University||finish|tolls|LaGuardia Airport|driving|imperial|eastern|2017-04-13 08:00:00-05:00|40.7602762/-73.9754916|40.7602762|-73.9754916|944|5118|1418|-73.9997754|40.7271183|40.774059|-73.871857|n/a|13094|1800|-73.9755398|40.7602095
New York University||finish|tolls|LaGuardia Airport|driving|imperial|eastern|2017-04-13 08:00:00-05:00|40.7520038/-73.9287806|40.7520038|-73.9287806|1302|7927|1572|-73.9932975|40.7295629|40.774059|-73.871857|n/a|9077|1920|-73.928781|40.752039
New York University||finish|tolls|LaGuardia Airport|driving|imperial|eastern|2017-04-13 08:00:00-05:00|40.7465008/-73.8910021|40.7465008|-73.8910021|1288|12147|1453|-73.9997754|40.7271183|40.774059|-73.871857|n/a|5103|480|-73.890689|40.746515
New York University||finish|tolls|LaGuardia Airport|driving|imperial|eastern|2017-04-13 08:00:00-05:00|40.7480716/-73.9471688|40.7480716|-73.9471688|994|6432|1204|-73.9932975|40.7295629|40.774059|-73.871857|n/a|10320|1320|-73.9472068|40.747956
New York University||finish|tolls|LaGuardia Airport|driving|imperial|eastern|2017-04-13 08:00:00-05:00|40.7530768/-73.9069949|40.7530768|-73.9069949|1402|12838|1566|-73.9997754|40.7271183|40.774059|-73.871857|n/a|6730|1620|-73.9071013|40.7531039
New York University||finish|tolls|LaGuardia Airport|driving|imperial|eastern|2017-04-13 08:00:00-05:00|40.7623826/-73.9863368|40.7623826|-73.9863368|1041|5531|1557|-73.9997754|40.7271183|40.774059|-73.871857|n/a|14178|1920|-73.9862468|40.7625048
New York University||finish|tolls|LaGuardia Airport|driving|imperial|eastern|2017-04-13 08:15:00-05:00|40.746543/-73.890732|40.746543|-73.890732|n/a|13219|1722|-73.9943326|40.7285304|40.7714389|-73.8718939|372|4624|414|-73.890765|40.7464059
New York University||finish|tolls|LaGuardia Airport|driving|imperial|eastern|2017-04-13 08:15:00-05:00|40.774059/-73.871857|40.774059|-73.871857|n/a|18252|2439|-73.9943326|40.7285304|40.7734911|-73.8758586|86|334|96|-73.8720814|40.7740263
New York University|||tolls|LaGuardia Airport|driving|imperial|eastern|2017-04-13 08:30:00-05:00||40.7714389|-73.8718939|1293|16070|1475|-73.9932975|40.7295629|||||||
New York University|||tolls|LaGuardia Airport|driving|imperial|eastern|2017-04-13 08:45:00-05:00||40.774059|-73.871857|n/a|18252|2439|-73.9943326|40.7285304|||||||
New York University|||tolls|LaGuardia Airport|driving|imperial|eastern|2017-04-13 09:00:00-05:00||40.774059|-73.871857|n/a|18252|2439|-73.9943326|40.7285304|||||||
New York University||finish|tolls|LaGuardia Airport|driving|imperial|eastern|2017-04-13 08:45:00-05:00|40.73101/-74.0013002|40.73101|-74.0013002|104|254|130|-74.0001873|40.7313277|40.774059|-73.871857|n/a|17606|2160|-74.0012201|40.7311041
New York University||finish|tolls|LaGuardia Airport|driving|imperial|eastern|2017-04-13 08:45:00-05:00|40.7578741/-73.9819016|40.7578741|-73.9819016|676|4036|1035|-73.9997754|40.7271183|40.774059|-73.871857|n/a|14210|1680|-73.9817907|40.7578276
New York University||finish|tolls|LaGuardia Airport|driving|imperial|eastern|2017-04-13 08:45:00-05:00|40.7520038/-73.9287806|40.7520038|-73.9287806|1337|7927|1572|-73.9932975|40.7295629|40.774059|-73.871857|n/a|9077|1260|-73.928781|40.752039
New York University||finish|tolls|LaGuardia Airport|driving|imperial|eastern|2017-04-13 08:45:00-05:00|40.7465008/-73.8910021|40.7465008|-73.8910021|1299|12147|1453|-73.9997754|40.7271183|40.774059|-73.871857|n/a|5103|480|-73.890689|40.746515
New York University||finish|tolls|LaGuardia Airport|driving|imperial|eastern|2017-04-13 08:45:00-05:00|40.7530768/-73.9069949|40.7530768|-73.9069949|1402|12838|1566|-73.9997754|40.7271183|40.774059|-73.871857|n/a|6730|960|-73.9071013|40.7531039
New York University||finish|tolls|LaGuardia Airport|driving|imperial|eastern|2017-04-13 08:45:00-05:00|40.7647873/-73.9664645|40.7647873|-73.9664645|1089|5285|1391|-73.9932975|40.7295629|40.774059|-73.871857|n/a|12197|1560|-73.966113|40.764629
New York University||finish|tolls|LaGuardia Airport|driving|imperial|eastern|2017-04-13 08:45:00-05:00|40.754101/-73.9423347|40.754101|-73.9423347|1169|7212|1361|-73.9932975|40.7295629|40.774059|-73.871857|n/a|9907|1200|-73.9424742|40.7541777
New York University||finish|tolls|LaGuardia Airport|driving|imperial|eastern|2017-04-13 09:00:00-05:00|40.746543/-73.890732|40.746543|-73.890732|n/a|13219|1722|-73.9943326|40.7285304|40.7714389|-73.8718939|393|4624|414|-73.890765|40.7464059
New York University||finish|tolls|LaGuardia Airport|driving|imperial|eastern|2017-04-13 09:00:00-05:00|40.774059/-73.871857|40.774059|-73.871857|n/a|18252|2439|-73.9943326|40.7285304|40.7734911|-73.8758586|80|334|96|-73.8720814|40.7740263
New York University|||tolls|LaGuardia Airport|driving|imperial|eastern|2017-04-13 09:15:00-05:00||40.7714389|-73.8718939|1380|15864|1475|-73.9997754|40.7271183|||||||
New York University|||tolls|LaGuardia Airport|driving|imperial|eastern|2017-04-13 09:30:00-05:00||40.774059|-73.871857|n/a|18737|2739|-73.9943326|40.7285304|||||||
New York University|||tolls|LaGuardia Airport|driving|imperial|eastern|2017-04-13 09:45:00-05:00||40.774059|-73.871857|n/a|18737|2739|-73.9943326|40.7285304|||||||
New York University||finish|tolls|LaGuardia Airport|driving|imperial|eastern|2017-04-13 09:30:00-05:00|40.73101/-74.0013002|40.73101|-74.0013002|118|254|130|-74.0001873|40.7313277|40.774059|-73.871857|n/a|18091|2460|-74.0012201|40.7311041
New York University||finish|tolls|LaGuardia Airport|driving|imperial|eastern|2017-04-13 09:30:00-05:00|40.7602762/-73.9754916|40.7602762|-73.9754916|1035|4854|1317|-73.9932975|40.7295629|40.774059|-73.871857|n/a|13094|1680|-73.9755398|40.7602095
New York University||finish|tolls|LaGuardia Airport|driving|imperial|eastern|2017-04-13 09:30:00-05:00|40.7520038/-73.9287806|40.7520038|-73.9287806|1486|7927|1572|-73.9932975|40.7295629|40.774059|-73.871857|n/a|9077|1560|-73.928781|40.752039
New York University||finish|tolls|LaGuardia Airport|driving|imperial|eastern|2017-04-13 09:30:00-05:00|40.7465008/-73.8910021|40.7465008|-73.8910021|1363|12147|1453|-73.9997754|40.7271183|40.774059|-73.871857|n/a|5103|480|-73.890689|40.746515
New York University||finish|tolls|LaGuardia Airport|driving|imperial|eastern|2017-04-13 09:30:00-05:00|40.7480716/-73.9471688|40.7480716|-73.9471688|1121|6432|1204|-73.9932975|40.7295629|40.774059|-73.871857|n/a|10320|1380|-73.9472068|40.747956
New York University||finish|tolls|LaGuardia Airport|driving|imperial|eastern|2017-04-13 09:30:00-05:00|40.7530768/-73.9069949|40.7530768|-73.9069949|1493|12838|1566|-73.9997754|40.7271183|40.774059|-73.871857|n/a|6730|1260|-73.9071013|40.7531039
