origin|split_on_leg|driver_leg|avoid|destination|mode|units|timezone|departure_time|split_point|end_y|end_x|duration_in_traffic-sec|distance_m|duration-sec|start_x|start_y|end_y|end_x|duration_in_traffic-sec|distance_m|duration-sec|start_x|start_y
Washington Park Chicago IL|||tolls|Ohare Airport|driving|imperial|central|2017-04-12 06:24:00-05:00||41.977665|-87.904221|n/a|39116|4750|-87.6175903|41.7929603|||||||
Washington Park Chicago IL|||tolls|Ohare Airport|driving|imperial|central|2017-04-12 06:36:00-05:00||41.977665|-87.904221|n/a|39116|4710|-87.6175903|41.7929603|||||||
Washington Park Chicago IL||finish|tolls|Ohare Airport|driving|imperial|central|2017-04-12 06:24:00-05:00|41.8857335/-87.6315556|41.8857335|-87.6315556|1061|13304|1149|-87.6175903|41.7929603|41.977665|-87.904221|n/a|27722|2340|-87.6315547|41.8857522
Washington Park Chicago IL||finish|tolls|Ohare Airport|driving|imperial|central|2017-04-12 06:24:00-05:00|41.8774529/-87.6277226|41.8774529|-87.6277226|1058|11033|1121|-87.6175903|41.7929603|41.977665|-87.904221|n/a|28926|2713|-87.6277226|41.8774529
Washington Park Chicago IL||finish|tolls|Ohare Airport|driving|imperial|central|2017-04-12 06:24:00-05:00|41.8858195/-87.6278724|41.8858195|-87.6278724|1067|13605|1267|-87.6175903|41.7929603|41.977665|-87.904221|n/a|28000|2538|-87.6280222|41.885817
Washington Park Chicago IL||finish|tolls|Ohare Airport|driving|imperial|central|2017-04-12 06:24:00-05:00|41.7947391/-87.618398|41.7947391|-87.618398|117|536|110|-87.6175551|41.7929609|41.977665|-87.904221|n/a|38739|4304|-87.618324|41.795174
Washington Park Chicago IL||finish|tolls|Ohare Airport|driving|imperial|central|2017-04-12 06:24:00-05:00|41.8217417/-87.6215403|41.8217417|-87.6215403|414|3473|429|-87.6175903|41.7929603|41.977665|-87.904221|n/a|35619|3913|-87.621368|41.821732
Washington Park Chicago IL||finish|tolls|Ohare Airport|driving|imperial|central|2017-04-12 06:24:00-05:00|41.8527793/-87.626405|41.8527793|-87.626405|611|8184|626|-87.6175903|41.7929603|41.977665|-87.904221|n/a|31852|3586|-87.6264174|41.8526371
Washington Park Chicago IL||finish|tolls|Ohare Airport|driving|imperial|central|2017-04-12 06:24:00-05:00|41.816588/-87.6190088|41.816588|-87.6190088|370|3095|395|-87.6175903|41.7929603|41.977665|-87.904221|n/a|36371|4092|-87.619019|41.816463
Washington Park Chicago IL||finish|tolls|Ohare Airport|driving|imperial|central|2017-04-12 06:36:00-05:00|41.8857522/-87.6315547|41.8857522|-87.6315547|n/a|11394|1605|-87.6175903|41.7929603|41.9797233|-87.8822525|1226|26064|1314|-87.6315556|41.8857335
Washington Park Chicago IL||finish|tolls|Ohare Airport|driving|imperial|central|2017-04-12 06:36:00-05:00|41.983505/-87.85939|41.983505|-87.85939|n/a|34808|3977|-87.6175903|41.7929603|41.9797233|-87.8822525|88|2012|93|-87.8594793|41.9837411
Washington Park Chicago IL||finish|tolls|Ohare Airport|driving|imperial|central|2017-04-12 06:36:00-05:00|41.94738/-87.719063|41.94738|-87.719063|n/a|21893|2987|-87.6175903|41.7929603|41.9797233|-87.8822525|1122|23030|1017|-87.7191813|41.9472665
Washington Park Chicago IL||finish|tolls|Ohare Airport|driving|imperial|central|2017-04-12 06:36:00-05:00|41.970634/-87.760895|41.970634|-87.760895|n/a|26224|3377|-87.6175903|41.7929603|41.9797233|-87.8822525|641|10610|450|-87.7611277|41.9708946
Washington Park Chicago IL||finish|tolls|Ohare Airport|driving|imperial|central|2017-04-12 06:36:00-05:00|41.977665/-87.904221|41.977665|-87.904221|n/a|39116|4277|-87.6175903|41.7929603|41.9797233|-87.8822525|592|7350|603|-87.9040972|41.9777944
Washington Park Chicago IL||finish|tolls|Ohare Airport|driving|imperial|central|2017-04-12 06:36:00-05:00|41.9100489/-87.6779633|41.9100489|-87.6779633|n/a|16245|2447|-87.6175903|41.7929603|41.9797233|-87.8822525|1124|21849|1160|-87.677963|41.9100511
Washington Park Chicago IL||finish|tolls|Ohare Airport|driving|imperial|central|2017-04-12 06:36:00-05:00|41.9823319/-87.8075119|41.9823319|-87.8075119|n/a|30489|3647|-87.6175903|41.7929603|41.9797233|-87.8822525|272|6370|274|-87.8075138|41.9824533
Washington Park Chicago IL|||tolls|Ohare Airport|driving|imperial|central|2017-04-12 06:48:00-05:00||41.9797233|-87.8822525|1816|36662|1839|-87.6175903|41.7929603|||||||
Washington Park Chicago IL|||tolls|Ohare Airport|driving|imperial|central|2017-04-12 07:00:00-05:00||41.977665|-87.904221|n/a|39116|4214|-87.6175903|41.7929603|||||||
Washington Park Chicago IL|||tolls|Ohare Airport|driving|imperial|central|2017-04-12 07:12:00-05:00||41.977665|-87.904221|n/a|39116|4214|-87.6175903|41.7929603|||||||
Washington Park Chicago IL||finish|tolls|Ohare Airport|driving|imperial|central|2017-04-12 07:00:00-05:00|41.8857335/-87.6315556|41.8857335|-87.6315556|1235|13304|1149|-87.6175903|41.7929603|41.977665|-87.904221|n/a|27722|2385|-87.6315547|41.8857522
Washington Park Chicago IL||finish|tolls|Ohare Airport|driving|imperial|central|2017-04-12 07:00:00-05:00|41.8774529/-87.6277226|41.8774529|-87.6277226|1137|11033|1121|-87.6175903|41.7929603|41.977665|-87.904221|n/a|28926|2713|-87.6277226|41.8774529
Washington Park Chicago IL||finish|tolls|Ohare Airport|driving|imperial|central|2017-04-12 07:00:00-05:00|41.8857694/-87.6279402|41.8857694|-87.6279402|1282|13604|1244|-87.6175903|41.7929603|41.977665|-87.904221|n/a|28000|2568|-87.6280222|41.885817
Washington Park Chicago IL||finish|tolls|Ohare Airport|driving|imperial|central|2017-04-12 07:00:00-05:00|41.7947391/-87.618398|41.7947391|-87.618398|109|536|110|-87.6175551|41.7929609|41.977665|-87.904221|n/a|38739|3930|-87.618324|41.795174
Washington Park Chicago IL||finish|tolls|Ohare Airport|driving|imperial|central|2017-04-12 07:00:00-05:00|41.8217417/-87.6215403|41.8217417|-87.6215403|394|3473|429|-87.6175903|41.7929603|41.977665|-87.904221|n/a|35619|3563|-87.621368|41.821732
Washington Park Chicago IL||finish|tolls|Ohare Airport|driving|imperial|central|2017-04-12 07:00:00-05:00|41.8527793/-87.626405|41.8527793|-87.626405|696|8184|626|-87.6175903|41.7929603|41.977665|-87.904221|n/a|31852|3230|-87.6264174|41.8526371
Washington Park Chicago IL||finish|tolls|Ohare Airport|driving|imperial|central|2017-04-12 07:00:00-05:00|41.816588/-87.6190088|41.816588|-87.6190088|357|3095|395|-87.6175903|41.7929603|41.977665|-87.904221|n/a|36371|3730|-87.619019|41.816463
Washington Park Chicago IL||finish|tolls|Ohare Airport|driving|imperial|central|2017-04-12 07:12:00-05:00|41.8857522/-87.6315547|41.8857522|-87.6315547|n/a|11394|1603|-87.6175903|41.7929603|41.9797233|-87.8822525|1285|26064|1314|-87.6315556|41.8857335
Washington Park Chicago IL||finish|tolls|Ohare Airport|driving|imperial|central|2017-04-12 07:12:00-05:00|41.983505/-87.85939|41.983505|-87.85939|n/a|34808|3915|-87.6175903|41.7929603|41.9797233|-87.8822525|87|2012|93|-87.8594793|41.9837411
Washington Park Chicago IL||finish|tolls|Ohare Airport|driving|imperial|central|2017-04-12 07:12:00-05:00|41.94738/-87.719063|41.94738|-87.719063|n/a|21893|2925|-87.6175903|41.7929603|41.9797233|-87.8822525|1557|23030|1017|-87.7191813|41.9472665
Washington Park Chicago IL||finish|tolls|Ohare Airport|driving|imperial|central|2017-04-12 07:12:00-05:00|41.970634/-87.760895|41.970634|-87.760895|n/a|26224|3315|-87.6175903|41.7929603|41.9797233|-87.8822525|757|10610|450|-87.7611277|41.9708946
Washington Park Chicago IL||finish|tolls|Ohare Airport|driving|imperial|central|2017-04-12 07:12:00-05:00|41.977665/-87.904221|41.977665|-87.904221|n/a|39116|4215|-87.6175903|41.7929603|41.9797233|-87.8822525|531|7350|603|-87.9040972|41.9777944
Washington Park Chicago IL||finish|tolls|Ohare Airport|driving|imperial|central|2017-04-12 07:12:00-05:00|41.9100489/-87.6779633|41.9100489|-87.6779633|n/a|16245|2385|-87.6175903|41.7929603|41.9797233|-87.8822525|1313|21849|1160|-87.677963|41.9100511
Washington Park Chicago IL||finish|tolls|Ohare Airport|driving|imperial|central|2017-04-12 07:12:00-05:00|41.9823319/-87.8075119|41.9823319|-87.8075119|n/a|30489|3585|-87.6175903|41.7929603|41.9797233|-87.8822525|269|6370|274|-87.8075138|41.9824533
Washington Park Chicago IL|||tolls|Ohare Airport|driving|imperial|central|2017-04-12 07:24:00-05:00||41.9797233|-87.8822525|2103|36662|1839|-87.6175903|41.7929603|||||||
Washington Park Chicago IL|||tolls|Ohare Airport|driving|imperial|central|2017-04-12 07:36:00-05:00||41.977665|-87.904221|n/a|39116|4725|-87.6175903|41.7929603|||||||
Washington Park Chicago IL|||tolls|Ohare Airport|driving|imperial|central|2017-04-12 07:48:00-05:00||41.977665|-87.904221|n/a|39116|4725|-87.6175903|41.7929603|||||||
Washington Park Chicago IL||finish|tolls|Ohare Airport|driving|imperial|central|2017-04-12 07:36:00-05:00|41.8857335/-87.6315556|41.8857335|-87.6315556|1387|13304|1149|-87.6175903|41.7929603|41.977665|-87.904221|n/a|27722|2340|-87.6315547|41.8857522
Washington Park Chicago IL||finish|tolls|Ohare Airport|driving|imperial|central|2017-04-12 07:36:00-05:00|41.8774529/-87.6277226|41.8774529|-87.6277226|1261|11033|1121|-87.6175903|41.7929603|41.977665|-87.904221|n/a|28926|2743|-87.6277226|41.8774529
Washington Park Chicago IL||finish|tolls|Ohare Airport|driving|imperial|central|2017-04-12 07:36:00-05:00|41.8858195/-87.6278724|41.8858195|-87.6278724|1253|13420|1379|-87.6175551|41.7929609|41.977665|-87.904221|n/a|28000|2568|-87.6280222|41.885817
Washington Park Chicago IL||finish|tolls|Ohare Airport|driving|imperial|central|2017-04-12 07:36:00-05:00|41.7947391/-87.618398|41.7947391|-87.618398|105|536|110|-87.6175551|41.7929609|41.977665|-87.904221|n/a|38739|4598|-87.618324|41.795174
Washington Park Chicago IL||finish|tolls|Ohare Airport|driving|imperial|central|2017-04-12 07:36:00-05:00|41.8217417/-87.6215403|41.8217417|-87.6215403|383|3473|429|-87.6175903|41.7929603|41.977665|-87.904221|n/a|35619|4120|-87.621368|41.821732
Washington Park Chicago IL||finish|tolls|Ohare Airport|driving|imperial|central|2017-04-12 07:36:00-05:00|41.8527793/-87.626405|41.8527793|-87.626405|745|8300|739|-87.6175903|41.7929603|41.977665|-87.904221|n/a|31852|3818|-87.6264174|41.8526371
Washington Park Chicago IL||finish|tolls|Ohare Airport|driving|imperial|central|2017-04-12 07:36:00-05:00|41.816588/-87.6190088|41.816588|-87.6190088|351|3095|395|-87.6175903|41.7929603|41.977665|-87.904221|n/a|36371|4292|-87.619019|41.816463
Washington Park Chicago IL||finish|tolls|Ohare Airport|driving|imperial|central|2017-04-12 07:48:00-05:00|41.8857522/-87.6315547|41.8857522|-87.6315547|n/a|11394|1737|-87.6175903|41.7929603|41.9797233|-87.8822525|1536|26064|1314|-87.6315556|41.8857335
Washington Park Chicago IL||finish|tolls|Ohare Airport|driving|imperial|central|2017-04-12 07:48:00-05:00|41.983505/-87.85939|41.983505|-87.85939|n/a|34808|4560|-87.6175903|41.7929603|41.9797233|-87.8822525|87|2012|93|-87.8594793|41.9837411
Washington Park Chicago IL||finish|tolls|Ohare Airport|driving|imperial|central|2017-04-12 07:48:00-05:00|41.94738/-87.719063|41.94738|-87.719063|n/a|21893|3585|-87.6175903|41.7929603|41.9797233|-87.8822525|2069|23030|1017|-87.7191813|41.9472665
Washington Park Chicago IL||finish|tolls|Ohare Airport|driving|imperial|central|2017-04-12 07:48:00-05:00|41.970634/-87.760895|41.970634|-87.760895|n/a|26224|3960|-87.6175903|41.7929603|41.9797233|-87.8822525|793|10610|450|-87.7611277|41.9708946
Washington Park Chicago IL||finish|tolls|Ohare Airport|driving|imperial|central|2017-04-12 07:48:00-05:00|41.977665/-87.904221|41.977665|-87.904221|n/a|39116|4875|-87.6175903|41.7929603|41.9797233|-87.8822525|544|7350|603|-87.9040972|41.9777944
Washington Park Chicago IL||finish|tolls|Ohare Airport|driving|imperial|central|2017-04-12 07:48:00-05:00|41.9100489/-87.6779633|41.9100489|-87.6779633|n/a|16245|3030|-87.6175903|41.7929603|41.9797233|-87.8822525|1825|21849|1160|-87.677963|41.9100511
Washington Park Chicago IL||finish|tolls|Ohare Airport|driving|imperial|central|2017-04-12 07:48:00-05:00|41.9823319/-87.8075119|41.9823319|-87.8075119|n/a|30489|4245|-87.6175903|41.7929603|41.9797233|-87.8822525|330|6370|274|-87.8075138|41.9824533
Washington Park Chicago IL|||tolls|Ohare Airport|driving|imperial|central|2017-04-12 08:00:00-05:00||41.9797233|-87.8822525|2303|36662|1839|-87.6175903|41.7929603|||||||
Washington Park Chicago IL|||tolls|Ohare Airport|driving|imperial|central|2017-04-12 08:12:00-05:00||41.977665|-87.904221|n/a|39116|4515|-87.6175903|41.7929603|||||||
Washington Park Chicago IL|||tolls|Ohare Airport|driving|imperial|central|2017-04-12 08:24:00-05:00||41.977665|-87.904221|n/a|39116|4515|-87.6175903|41.7929603|||||||
Washington Park Chicago IL||finish|tolls|Ohare Airport|driving|imperial|central|2017-04-12 08:12:00-05:00|41.8857335/-87.6315556|41.8857335|-87.6315556|1382|13304|1149|-87.6175903|41.7929603|41.977665|-87.904221|n/a|27722|2280|-87.6315547|41.8857522
